YEAR,MO,DY,HR,ALLSKY_SFC_SW_DWN,CLRSKY_SFC_SW_DWN,TOA_SW_DWN,ALLSKY_SFC_PAR_TOT,CLRSKY_SFC_PAR_TOT,ALLSKY_SFC_UVA,ALLSKY_SFC_UVB,ALLSKY_SFC_UV_INDEX,T2M,T2MDEW,T2MWET,QV2M,RH2M,PRECTOTCORR,PS,WS2M,WD2M,WS10M,WD10M
2023,3,4,14,1.75,2.83,3.49,235.65,331.62,43.04,1.34,6.98,12.52,-0.45,6.03,5.19,41.56,0,72.81,4.31,221.18,5.42,221.14
2023,3,4,15,1.14,2.16,2.8,154.27,251.73,28.06,0.7,3.45,11.46,-0.32,5.57,5.25,45,0,72.78,3.83,218.71,4.84,218.78
2023,3,4,16,0.66,1.31,1.9,87.02,151.12,15.56,0.25,1.23,10.12,-0.32,4.9,5.25,49.31,0,72.78,3.19,216.93,4.06,217.02
2023,3,4,17,0.24,0.47,0.89,31.77,51.85,5.65,0.03,0.15,7.87,0.49,4.19,5.62,61.44,0,72.8,1.81,212.45,2.58,212.24
2023,3,4,18,0,0,0,0,0,0,0,0,6.11,0.17,3.14,5.43,67.31,0,72.83,0.91,199.06,1.35,198.85
2023,3,4,19,0,0,0,0,0,0,0,0,5.44,0.08,2.76,5.37,70,0,72.87,0.34,147.03,0.58,154.47
2023,3,4,20,0,0,0,0,0,0,0,0,4.32,-0.06,2.13,5.37,75.06,0,72.91,0.41,75.7,0.62,81.36
2023,3,4,21,0,0,0,0,0,0,0,0,3.49,-0.2,1.65,5.31,78.81,0,72.93,0.48,51.63,0.83,51.09
2023,3,4,22,0,0,0,0,0,0,0,0,2.9,-0.44,1.23,5.19,80.88,0,72.92,0.56,38.78,1.06,38.13
2023,3,4,23,0,0,0,0,0,0,0,0,2.46,-0.8,0.83,5.07,81.19,0,72.89,0.67,35.93,1.28,35.33
2023,3,5,0,0,0,0,0,0,0,0,0,1.99,-1.38,0.3,4.82,80.31,0,72.85,0.81,33.54,1.55,33.93
2023,3,5,1,0,0,0,0,0,0,0,0,1.48,-2.27,-0.4,4.52,77.94,0,72.82,0.96,32.01,1.86,32.49
2023,3,5,2,0,0,0,0,0,0,0,0,1.01,-3.49,-1.24,4.15,73.5,0,72.79,1.11,32.91,2.13,33.34
2023,3,5,3,0,0,0,0,0,0,0,0,0.79,-4.9,-2.06,3.72,66.94,0,72.76,1.19,35.67,2.26,35.84
2023,3,5,4,0,0,0,0,0,0,0,0,1.02,-6.17,-2.57,3.36,59.44,0,72.76,1.2,37.32,2.16,37.66
2023,3,5,5,0,0,0,0,0,0,0,0,1.48,-7.08,-2.8,3.11,53.25,0,72.78,1.15,38.11,1.95,38.66
2023,3,5,6,0,0,0,0,0,0,0,0,1.96,-7.83,-2.94,2.93,48.38,0,72.83,1.09,37.69,1.78,38.23
2023,3,5,7,0.59,0.59,0.92,64.15,65.52,8.96,0.05,0.25,4.58,-5.88,-0.65,3.48,48.38,0,72.88,0.83,39.67,1.42,39.2
2023,3,5,8,1.43,1.5,1.92,165.3,174.2,25.6,0.41,2,8.26,-6.17,1.05,3.42,36.69,0,72.94,0.3,227.12,0.34,228.69
2023,3,5,9,2.31,2.37,2.82,272.73,278.6,45.24,1.12,5.6,10.47,-5.39,2.54,3.66,34.06,0,72.96,2.15,230.17,2.63,230.3
2023,3,5,10,2.66,3.01,3.51,323.48,352.55,53.8,1.7,8.77,12.02,-4.81,3.6,3.85,31.88,0,72.96,3.1,227.45,3.84,227.48
2023,3,5,11,3.16,3.46,3.94,385.17,408.2,68.6,2.45,12.92,13.07,-4.07,4.5,4.03,31.25,0,72.92,3.86,224.26,4.81,224.21
2023,3,5,12,2.93,3.36,4.09,360.42,395.58,58.88,2.08,11.17,13.44,-3.09,5.17,4.27,32.56,0,72.84,4.33,222.95,5.42,223.01
2023,3,5,13,2.45,3.2,3.94,300.75,372.27,47.95,1.62,8.65,13.27,-2.23,5.52,4.58,34.88,0,72.77,4.43,223.36,5.55,223.4
2023,3,5,14,2.11,2.81,3.51,267.17,329.42,43.89,1.38,7.33,12.66,-1.74,5.47,4.7,37.44,0,72.71,4.22,223.8,5.29,223.92
2023,3,5,15,1.39,2.11,2.81,168.55,243.8,25.2,0.61,3.08,11.7,-1.49,5.11,4.76,40.56,0,72.67,3.93,223.79,4.96,223.91
2023,3,5,16,0.87,1.29,1.91,99.65,146.3,13.72,0.21,1.05,10.26,-1.39,4.44,4.82,44.94,0,72.68,3.44,224.45,4.39,224.57
2023,3,5,17,0.39,0.49,0.91,44.58,54.5,6.66,0.04,0.17,7.91,-0.82,3.55,5.07,55.31,0,72.7,2.16,223.1,3.01,223.74
2023,3,5,18,0,0,0,0,0,0,0,0,5.53,-0.77,2.38,5.07,65.25,0,72.72,1.07,222.05,1.63,222.86
2023,3,5,19,0,0,0,0,0,0,0,0,4.91,-1.01,1.95,4.94,66.88,0,72.77,0.44,248.96,0.7,244.29
2023,3,5,20,0,0,0,0,0,0,0,0,3.89,-1.24,1.33,4.88,70.69,0,72.8,0.23,344.05,0.32,338.46
2023,3,5,21,0,0,0,0,0,0,0,0,3.08,-1.47,0.8,4.82,73.62,0,72.8,0.48,29.05,0.85,28.44
2023,3,5,22,0,0,0,0,0,0,0,0,2.33,-1.77,0.28,4.7,76,0,72.76,0.7,34.94,1.32,33.69
2023,3,5,23,0,0,0,0,0,0,0,0,1.76,-2.3,-0.27,4.52,76.25,0,72.72,0.89,34.25,1.69,34.06
2023,3,6,0,0,0,0,0,0,0,0,0,1.24,-3.06,-0.92,4.27,74.69,0,72.68,1.06,33.57,1.93,33.43
2023,3,6,1,0,0,0,0,0,0,0,0,0.95,-4.07,-1.56,3.97,70.75,0,72.62,1.14,32.92,2.01,32.45
2023,3,6,2,0,0,0,0,0,0,0,0,0.89,-5.13,-2.12,3.66,65.44,0,72.57,1.15,33.37,1.95,33.05
2023,3,6,3,0,0,0,0,0,0,0,0,0.89,-6.16,-2.63,3.36,60.31,0,72.53,1.14,33.8,1.87,33.76
2023,3,6,4,0,0,0,0,0,0,0,0,0.88,-7.08,-3.1,3.11,56.12,0,72.52,1.13,35.12,1.81,34.79
2023,3,6,5,0,0,0,0,0,0,0,0,0.83,-8.09,-3.63,2.93,52.12,0,72.54,1.13,36,1.78,35.92
2023,3,6,6,0.03,0.02,0.05,1.5,1.7,0.27,0,0,0.88,-8.99,-4.06,2.69,48.31,0,72.59,1.13,37.67,1.78,37.68
2023,3,6,7,0.59,0.59,0.89,63.2,64.5,8.4,0.04,0.2,3.56,-7.04,-1.74,3.23,47.5,0,72.64,0.9,43.24,1.47,41.99
